Date,XRP_Price
3/25/2025,2.4492
3/25/2025,2.4492
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/31/2025,2.0899
3/31/2025,2.0899
3/31/2025,2.0899
3/31/2025,2.0899
4/1/2025,2.1387
4/1/2025,2.1387
4/1/2025,2.1387
4/1/2025,2.1387
4/2/2025,2.0237
4/2/2025,2.0237
4/2/2025,2.0237
4/2/2025,2.0237
4/2/2025,2.0237
4/3/2025,2.0648
4/3/2025,2.0648
4/3/2025,2.0648
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
4/10/2025,1.9658
4/10/2025,1.9658
4/12/2025,2.1598
4/13/2025,2.1196
4/13/2025,2.1196
4/17/2025,2.0673
4/17/2025,2.0673
4/19/2025,2.0877
4/19/2025,2.0877
4/22/2025,2.2139
4/22/2025,2.2139
4/22/2025,2.2139
4/22/2025,2.2139
4/24/2025,2.2049
4/24/2025,2.2049
4/24/2025,2.2049
4/26/2025,2.1912
4/26/2025,2.1912
4/26/2025,2.1912
4/26/2025,2.1912
4/27/2025,2.252
4/29/2025,2.238
4/29/2025,2.238
4/29/2025,2.238
4/29/2025,2.238
4/30/2025,2.1908
4/30/2025,2.1908
4/30/2025,2.1908
5/1/2025,2.2123
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/4/2025,2.156
5/4/2025,2.156
5/4/2025,2.156
5/4/2025,2.156
5/4/2025,2.156
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/7/2025,2.1265
5/7/2025,2.1265
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/10/2025,2.4711
5/10/2025,2.4711
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/12/2025,2.5439
5/12/2025,2.5439
5/12/2025,2.5439
5/12/2025,2.5439
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/14/2025,2.5503
5/14/2025,2.5503
5/14/2025,2.5503
5/14/2025,2.5503
5/15/2025,2.3856
5/15/2025,2.3856
5/15/2025,2.3856
2/7/2025,2.3968
1/8/2025,2.3731
1/8/2025,2.3731
1/8/2025,2.3731
2/8/2025,2.419
2/8/2025,2.419
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
1/9/2025,2.2722
1/9/2025,2.2722
1/9/2025,2.2722
2/9/2025,2.3928
2/9/2025,2.3928
3/9/2025,2.1387
3/9/2025,2.1387
3/9/2025,2.1387
1/10/2025,2.3414
4/10/2025,1.9658
