Date,BTC_Price
4/17/2025,84947.91
4/19/2025,85077.01
4/19/2025,85077.01
4/19/2025,85077.01
4/19/2025,85077.01
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/21/2025,87516.23
4/23/2025,93691.08
4/23/2025,93691.08
4/23/2025,93691.08
4/25/2025,94638.68
4/25/2025,94638.68
4/26/2025,94628.0
4/26/2025,94628.0
4/26/2025,94628.0
4/26/2025,94628.0
4/26/2025,94628.0
4/26/2025,94628.0
4/26/2025,94628.0
4/27/2025,93749.3
4/28/2025,95011.18
4/28/2025,95011.18
4/29/2025,94256.82
4/29/2025,94256.82
4/29/2025,94256.82
5/1/2025,96489.91
5/2/2025,96887.14
5/2/2025,96887.14
5/2/2025,96887.14
5/3/2025,95856.42
5/3/2025,95856.42
5/3/2025,95856.42
5/3/2025,95856.42
5/3/2025,95856.42
5/3/2025,95856.42
5/3/2025,95856.42
5/3/2025,95856.42
5/4/2025,94277.62
5/4/2025,94277.62
5/4/2025,94277.62
5/4/2025,94277.62
5/4/2025,94277.62
5/5/2025,94733.68
5/13/2025,104103.72
5/13/2025,104103.72
5/13/2025,104103.72
5/13/2025,104103.72
5/15/2025,103763.71
5/15/2025,103763.71
2/6/2025,96554.35
2/6/2025,96554.35
2/6/2025,96554.35
2/6/2025,96554.35
2/6/2025,96554.35
4/6/2025,78430.0
5/6/2025,96834.02
1/7/2025,96954.61
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
3/7/2025,86801.75
4/7/2025,79163.24
4/7/2025,79163.24
4/7/2025,79163.24
4/7/2025,79163.24
4/7/2025,79163.24
5/7/2025,97030.5
5/7/2025,97030.5
5/7/2025,97030.5
5/7/2025,97030.5
1/8/2025,95060.61
2/8/2025,96444.74
3/8/2025,86222.45
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
4/8/2025,76322.42
5/8/2025,103261.6
5/8/2025,103261.6
5/8/2025,103261.6
5/8/2025,103261.6
5/8/2025,103261.6
5/8/2025,103261.6
5/8/2025,103261.6
5/8/2025,103261.6
3/9/2025,80734.37
3/9/2025,80734.37
3/9/2025,80734.37
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
4/9/2025,82615.22
5/9/2025,102971.99
5/9/2025,102971.99
5/9/2025,102971.99
5/9/2025,102971.99
2/10/2025,97430.82
2/10/2025,97430.82
2/10/2025,97430.82
2/10/2025,97430.82
2/10/2025,97430.82
2/10/2025,97430.82
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
4/10/2025,79607.3
5/10/2025,104809.53
5/10/2025,104809.53
5/10/2025,104809.53
5/10/2025,104809.53
5/10/2025,104809.53
2/11/2025,95778.2
2/11/2025,95778.2
2/11/2025,95778.2
2/11/2025,95778.2
2/11/2025,95778.2
2/11/2025,95778.2
2/11/2025,95778.2
2/11/2025,95778.2
2/11/2025,95778.2
3/11/2025,82932.99
3/11/2025,82932.99
3/11/2025,82932.99
3/11/2025,82932.99
3/11/2025,82932.99
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
4/11/2025,83423.84
5/11/2025,104118.0
5/11/2025,104118.0
5/11/2025,104118.0
5/11/2025,104118.0
5/11/2025,104118.0
5/11/2025,104118.0
5/11/2025,104118.0
5/11/2025,104118.0
5/11/2025,104118.0
3/12/2025,83680.12
3/12/2025,83680.12
3/12/2025,83680.12
3/12/2025,83680.12
5/12/2025,102791.32
5/12/2025,102791.32
5/12/2025,102791.32
